field0	field1	field2	field3	field4				
"	0	0
636	Brazie\'s PetBattle - Dispatcher - Result Stub - Shared"""	"
function preEffect_visual(targetPet, casterPet, result)
	local abilityVisualID, spellVisualID, turnVisualID, turnVisualSpellID = GetVisualData(result)

	PerformSpellVisual(casterPet, abilityVisualID, targetPet )
end

function successEffect_visual(targetPet, casterPet, result)
	local abilityVisualID, spellVisualID, turnVisualID, turnVisualSpellID = GetVisualData(result)

	local useID = spellVisualID
print(abilityVisualID, \,\"", spellVisualID, \"",\"", turnVisualID, \"",\"", turnVisualSpellID)"							
"	0	0
640	Brazie\'s PetBattle - Dispatcher - Default Turn Behaviour"""	"function Dispatcher_DefaultTurnBehaviour( ROID, turn )
	DefaultTurnBehaviour( ROID, \turn\"", turn);"							
"	0	0
648	Turn Package - Vanish - Ambush"""	"function Dispatcher_VanishAttackOnMultiHit( ROID, isTurn, turn )

	-- Only handle \effect\"" objects"							
"	0	0
649	Brazie\'s PetBattle - Dispatcher - Thread Bot 1"""	"local myROID;
local myList=nil;

while(not BOT_KILL_SWITCH ) do
	for k,v in pairs(UNIT_ACTION_QUEUE) do
		if ( v.isProcessing == false and #v.commands > 0 ) then 
			myROID = k;
			myList = v;
			break;
		end
	end

	if ( myROID ) then 
		UNIT_ACTION_QUEUE[myROID].isProcessing = true;
		
		while myList.commands[1] ~= nil do
			local task = myList.commands[1];
			local result = task.func(myROID, unpack(task.args));

			print(\Bot1 Result: \"",result)"							
"	0	0
65	PetBattle - Effect Aura Apply"""	"
--------------------------------------------------------------------------------
-- APPLY AURA

function EffectAuraApply(effect)
	
	local casterCastingPet
	local spellVisualID
	casterCastingPet, spellVisualID = EffectCastShared(effect, effect.auraAbilityTurnID)
	if (not spellVisualID) then
		return
	end

	-- signal the impact
	SignalEffectProcessed()

	-- final stage: actually apply the impact visuals and damage
	for targetIndex, targetData in pairs(effect.targets) do
		local targetPlayer = GetTeamByIndex(targetData.playerID)
		local targetPet = targetPlayer.pets[targetData.petSlot]

		targetPet.actor:PlaySpellImpactVisual(spellVisualID)

		-- apply an aura, tracked by instance ID
		ApplyAura(targetPet, targetData.auraInstanceID, spellVisualID)

		local newHealth = targetData.newHealth
		SetHealth(targetPet, newHealth, false)
	end

	-- wait until the casters animation has completed
	casterCastingPet.actor:WaitCastingComplete(true)

end

--------------------------------------------------------------------------------
function ApplyAura(pet, auraInstanceID, spellVisualID)

	local aura = pet.auras[auraInstanceID]
	if (not aura) then
		aura = { }
		pet.auras[auraInstanceID] = aura
	end

	-- clear existing aura visual for this instance, if there is one
	if (aura.spellVisualID and aura.spellVisualInstanceID) then
		pet.actor:ClearSpellStateVisual(aura.spellVisualID, aura.spellVisualInstanceID)
	end

	aura.spellVisualID = spellVisualID
	aura.spellVisualInstanceID = pet.actor:PlaySpellStateVisual(spellVisualID)

end

--------------------------------------------------------------------------------
function UpdateAuraVisuals(pet)

	for auraInstanceID, aura in pairs(pet.auras) do
		if (aura.spellVisualID and aura.spellVisualInstanceID) then
			pet.actor:ClearSpellStateVisual(aura.spellVisualID, aura.spellVisualInstanceID)
		end
		aura.spellVisualInstanceID = pet.actor:PlaySpellStateVisual(spellVisualID)
	end

end
"	0	0					
"	0	0
655	Brazie\'s PetBattle - Perform Leap"""	"
-- Moves the unit to the correct location based on the ability
function PerformLeap(ROID, range, animation)
	local pet = ROIDTOPET(ROID);
	local opponent = GetActivePetByIndex(3 - pet.playerID)

	local opponentLocation = opponent.actor:GetPosition();
	local frontVector = UnitVectorFromAtoB(opponentLocation, pet.actor:GetPosition()  );
	local upVector = UnitVectorFromAtoB(opponentLocation, (opponentLocation + Vector:New(0,0,1) ) );
	local leftVector = UnitVectorCrossProduct(frontVector, upVector);

	pet.actor:ClearFacing(); 

	--casterCastingPet, spellVisualID = SpellEffectPlayShared(effect, abilityVisualID)
	local finalDestination = nil;

	-- Melee
	if ( range == PetBattleRange.Melee ) then 
		local meleePoint = frontVector * 1*battleScale;
		local meleeAttackPoint = opponentLocation + meleePoint;
		finalDestination = meleeAttackPoint;
	-- Ranged
	elseif ( range == PetBattleRange.Ranged ) then 
		local rangedPoint = frontVector * 2*battleScale;
		local rangedAttackPoint = opponentLocation + rangedPoint;
		finalDestination = rangedAttackPoint;
	-- Stationary
	elseif (range == PetBattleRange.InPlace ) then 
		pet.actor:SetFacingToAbs(opponentLocation)
	-- Do nothing
	else
		Print(\ERROR: No movement range specified!\"");"							
"	0	0
660	Global Constants - Animation Table 1"""	"AnimTable1 =
{  
	None = -1;
	Stand = 0;
	Death = 1;
	Spell = 2;
	Stop = 3;
	Walk = 4;
	Run = 5;
	Dead = 6;
	Rise = 7;
	StandWound = 8;
	CombatWound = 9;
	CombatCritical = 10;
	ShuffleLeft = 11;
	ShuffleRight = 12;
	Walkbackwards = 13;
	Stun = 14;
	HandsClosed = 15;
	AttackUnarmed = 16;
	Attack1H = 17;
	Attack2H = 18;
	Attack2HL = 19;
	ParryUnarmed = 20;
	Parry1H = 21;
	Parry2H = 22;
	Parry2HL = 23;
	ShieldBlock = 24;
	ReadyUnarmed = 25;
	Ready1H = 26;
	Ready2H = 27;
	Ready2HL = 28;
	ReadyBow = 29;
	Dodge = 30;
	SpellPrecast = 31;
	SpellCast = 32;
	SpellCastArea = 33;
	NPCWelcome = 34;
	NPCGoodbye = 35;
	Block = 36;
	JumpStart = 37;
	Jump = 38;
	JumpEnd = 39;
	Fall = 40;
	SwimIdle = 41;
	Swim = 42;
	SwimLeft = 43;
	SwimRight = 44;
	SwimBackwards = 45;
	AttackBow = 46;
	FireBow = 47;
	ReadyRifle = 48;
	AttackRifle = 49;
	Loot = 50;
	ReadySpellDirected = 51;
	ReadySpellOmni = 52;
	SpellCastDirected = 53;
	SpellCastOmni = 54;
	BattleRoar = 55;
	ReadyAbility = 56;
	Special1H = 57;
	Special2H = 58;
	ShieldBash = 59;
	EmoteTalk = 60;
	EmoteEat = 61;
	EmoteWork = 62;
	EmoteUseStanding = 63;
	EmoteTalkExclamation = 64;
	EmoteTalkQuestion = 65;
	EmoteBow = 66;
	EmoteWave = 67;
	EmoteCheer = 68;
	EmoteDance = 69;
	EmoteLaugh = 70;
	EmoteSleep = 71;
	EmoteSitGround = 72;
	EmoteRude = 73;
	EmoteRoar = 74;
	EmoteKneel = 75;
	EmoteKiss = 76;
	EmoteCry = 77;
	EmoteChicken = 78;
	EmoteBeg = 79;
	EmoteApplaud = 80;
	EmoteShout = 81;
	EmoteFlex = 82;
	EmoteShy = 83;
	EmotePoint = 84;
	Attack1HPierce = 85;
	Attack2HLoosePierce = 86;
	AttackOff = 87;
	AttackOffPierce = 88;
	Sheath = 89;
	HipSheath = 90;
	Mount = 91;
	RunRight = 92;
	RunLeft = 93;
	MountSpecial = 94;
	Kick = 95;
	SitGroundDown = 96;
	SitGround = 97;
	SitGroundUp = 98;
	SleepDown = 99;
	Sleep = 100;
	SleepUp = 101;
	SitChairLow = 102;
	SitChairMed = 103;
	SitChairHigh = 104;
	LoadBow = 105;
	LoadRifle = 106;
	AttackThrown = 107;
	ReadyThrown = 108;
	HoldBow = 109;
	HoldRifle = 110;
	HoldThrown = 111;
	LoadThrown = 112;
	EmoteSalute = 113;
	KneelStart = 114;
	KneelLoop = 115;
	KneelEnd = 116;
	AttackUnarmedOff = 117;
	SpecialUnarmed = 118;
	StealthWalk = 119;
	StealthStand = 120;
	Knockdown = 121;
	EatingLoop = 122;
	UseStandingLoop = 123;
	ChannelCastDirected = 124;
	ChannelCastOmni = 125;
	Whirlwind = 126;
	Birth = 127;
	UseStandingStart = 128;
	UseStandingEnd = 129;
	CreatureSpecial = 130;
	Drown = 131;
	Drowned = 132;
	FishingCast = 133;
	FishingLoop = 134;
	Fly = 135;
	EmoteWorkNoSheathe = 136;
	EmoteStunNoSheathe = 137;
	EmoteUseStandingNoSheathe = 138;
	SpellSleepDown = 139;
	SpellKneelStart = 140;
	SpellKneelLoop = 141;
	SpellKneelEnd = 142;
	Sprint = 143;
	InFlight = 144;
	Spawn = 145;
	Close = 146;
	Closed = 147;
	Open = 148;
	Opened = 149;
	Destroy = 150;
	Destroyed = 151;
	Rebuild = 152;
	Custom0 = 153;
	Custom1 = 154;
	Custom2 = 155;
	Custom3 = 156;
	Despawn = 157;
	Hold = 158;
	Decay = 159;
	BowPull = 160;
	BowRelease = 161;
	ShipStart = 162;
	ShipMoving = 163;
	ShipStop = 164;
	GroupArrow = 165;
	Arrow = 166;
	CorpseArrow = 167;
	GuideArrow = 168;
	Sway = 169;
	DruidCatPounce = 170;
	DruidCatRip = 171;
	DruidCatRake = 172;
	DruidCatRavage = 173;
	DruidCatClaw = 174;
	DruidCatCower = 175;
	DruidBearSwipe = 176;
	DruidBearBite = 177;
	DruidBearMaul = 178;
	DruidBearBash = 179;
	DragonTail = 180;
	DragonStomp = 181;
	DragonSpit = 182;
	DragonSpitHover = 183;
	DragonSpitFly = 184;
	EmoteYes = 185;
	EmoteNo = 186;
	JumpLandRun = 187;
	LootHold = 188;
	LootUp = 189;
	StandHigh = 190;
	Impact = 191;
	LiftOff = 192;
	Hover = 193;
	SuccubusEntice = 194;
	EmoteTrain = 195;
	EmoteDead = 196;
	EmoteDanceOnce = 197;
	Deflect = 198;
	EmoteEatNoSheathe = 199;
	Land = 200;}
"	0	0					
"	0	0
67	Townlong Steppes - Ring worm Intro - Init"""	"
local RingWormBossID = 62324
RingWormBoss = SpawnActor( RingWormBossID, 1209.34, 2818.61, 264.553, 0, 1.0, false )"	0	0					
"	0	0
684	Turn Package - Stampede With Clones"""	"function Dispatcher_Stampede( clonesPerRow, ROID, isTurn, turn )
	--[[
	-- Global checker:
	--
	local env = {};
	setmetatable(env, { __index = getfenv(1), __newindex = function(tab, k, v) error(\Attempt to set global \""..k); end});"							
"	0	0
690	Brazie\'s PetBattle - Effect - GetVisualData"""	"function GetVisualData(result)
	local abilityVisualID = result.abilityVisualID
	local turnVisualID = result.turnVisualID

	local abilityVisual = petAbilityVisuals[abilityVisualID]
	if not abilityVisual then
		return abilityVisualID, nil, turnVisualID
	end

	local spellVisualID = abilityVisual.spellVisualID

	local turnVisual = petAbilityVisuals[turnVisualID]
	if not turnVisual then
		return abilityVisualID, nil, turnVisualID
	end
	local turnVisualSpellID = turnVisual.spellVisualID;

	return abilityVisualID, spellVisualID, turnVisualID, turnVisualSpellID
end"	0	0					
"	0	0
692	Turn Package - Only Turn Animate The First N Effects"""	"function Dispatcher_OnlyTurnAnimateTheEffects1toN( n, ROID, isTurn, turn )
	-- Only handle \effect\"" objects"							
"	0	0
8	Darren\'s Test Scene Script 2"""	"print(\DazTest2\"")"							
"	0	0
81	Kun Lai Summit - Alliance Hub Swap Scene - Mishka 01 - JSB"""	"
-- wait before running in
Wait(22)

FadeIn( mishka01, 0 )

-- run into scene
RunToLocation( mishka01, 5, 2117.27, 1453.24, 487.886, 41.1248 )
RunToLocation( mishka01, 3, 2124.83, 1468.99, 487.886, 14.7998 )

-- taylor trigger
WaitForTrigger( \flagPlant\"" )"							
"	0	0
86	PetBattle - Effect Shared"""	"
--------------------------------------------------------------------------------
-- Helper Functions for processing effects

local currentEffectInstanceID = nil

function ProcessEffect(event)
	-- apply the different types of effects
	if not (event) then
		return true
	end

	local eventType = event.eventType
	local effectType = event.effectType
	if (event.type) then
		-- backwardsCompatibility for Build <= 15418
		if (event.type == PetBattleEffect.Invalid) then
			return false
		end

		eventType = PetBattleEvent.RoundEffect
		effectType = event.type
	end

	-- save the instance ID of the effect currently being processed
	currentEffectInstanceID = event.instanceID

	if (eventType == PetBattleEvent.BattleOver) then

		return false, event.winnerID

	elseif (eventType == PetBattleEvent.ObserverChange) then

		local newIsObserved = false
		local newObservingPlayerIndex = 0
		if (battleScene.GetUIObservingPlayer) then
			newObservingPlayerIndex = battleScene:GetUIObservingPlayer()
			if (observingPlayerIndex > 0) then
				newIsObserved = true
			end
		end

		if (newIsObserved ~= isObserved) or (newObservingPlayerIndex ~= newIsObserved) then
			isObserved = newIsObserved
			observingPlayerIndex = newObservingPlayerIndex
			if (observingPlayerIndex > 0) then
				SetCamera(3)
			else
				SetCamera(4)
			end
		end

	elseif (eventType == PetBattleEvent.RoundEffect) then

		-- battle round effects
		if (effectType == PetBattleEffect.Ability) then
			EffectAbility(event)
		elseif (effectType == PetBattleEffect.AuraApply) then
			EffectAuraApply(event)
		elseif (effectType == PetBattleEffect.AuraCancel) then
			EffectAuraRemove(event)
		elseif (effectType == PetBattleEffect.PetSwap) then
			EffectSwap(event.casterPlayerID, event.newFrontPet)
		elseif (effectType == PetBattleEffect.StatusChange) then
			-- HACK - for backwards compatibility
			EffectSwap(event.casterPlayerID, event.newFrontPet)
		end

	end

	if currentEffectInstanceID then
		-- Noone manually signaled the effect applied, do it now
		battleScene:SignalEffectApplied(currentEffectInstanceID)
	end

	if (battleScene and battleScene:HasPendingEffects() == false) then
		ResetActivePets()
	end

	return true
end

--------------------------------------------------------------------------------
function SignalEffectProcessed()
	if currentEffectInstanceID and battleScene then
		battleScene:SignalEffectApplied(currentEffectInstanceID)
		currentEffectInstanceID = nil
	end
end
"	0	0					
"	0	0
9	Global Functions - Actor"""	"--
-- Actor Functions
--
function Actor:WaitCondition(...)
	local scene = self:GetScene()
	if scene then
		scene:WaitCondition(...)
	end
end

function Actor:WaitCastingComplete(checkAnims, spellID)
	local waitCondition = function()
		return (("							
"	0	277
277	[1] Darren\'s Test 4000+"""	"--80----------------------------------------------------------------------------
--80----------------------------------------------------------------------------
--80----------------------------------------------------------------------------

print(\"							
"	0	555
334	PetBattle(fallback) - Effect Cast"""	"
--------------------------------------------------------------------------------
function EffectCastShared(effect, abilityVisualID)
	local casterPlayerID = effect.casterPlayerID
	local casterPlayer = GetTeamByIndex(casterPlayerID)
	local casterCastingPet = casterPlayer.pets[effect.casterPetSlot]

	--
	-- Get the pets in their rightful places
	--
	local casterFrontPet = casterPlayer.pets[casterPlayer.activePet]
	local opponentFrontPet = GetActivePetByIndex(3 - casterPlayerID)

	-- make sure the opponent pet is at the correct radius
	if not opponentFrontPet.deathAnimKit then
		WaitMoveToRadius(opponentFrontPet, readyRadius)
	end

	local abilityVisual = petAbilityVisuals[abilityVisualID]
	if not abilityVisual then
		return casterCastingPet
	end

	local attackRadius = GetAttackRadius(abilityVisual.range)
	
	-- move front pet to the correct radius, if it was the caster
	if ((casterPlayer.activePet == effect.casterPetSlot)) and (not casterFrontPet.deathAnimKit) then
		WaitMoveToRadius(casterFrontPet, attackRadius)
	end

	--
	-- Actually cast
	--	
	local spellVisualID = abilityVisual.spellVisualID

	local preCastInstance = casterCastingPet.actor:PlaySpellPreCastVisual(spellVisualID)
	scene:WaitTimer(abilityVisual.castTime)
	casterCastingPet.actor:ClearSpellPreCastVisual(spellVisualID, preCastInstance)

	-- loop through all the targets
	for targetIndex, targetData in pairs(effect.targets) do
		local targetPlayer = GetTeamByIndex(targetData.playerID)
		local targetPet = targetPlayer.pets[targetData.petSlot]

		if (casterCastingPet.actor ~= targetPet.actor) then
			casterCastingPet.actor:PlaySpellCastVisualAtTargets(
				spellVisualID,
				abilityVisual.impactTime,
				true,
				{targetPet.actor})
		else
			-- self targeted
			casterCastingPet.actor:PlaySpellCastVisual(spellVisualID)
		end
	end

	-- wait for impact
	local waitMissiles = false
	if Actor.HasPendingMissiles then
		waitMissiles = casterCastingPet.actor:HasPendingMissiles(0)
	end

	if (waitMissiles == true) then
		casterCastingPet.actor:WaitMissilesImpacted(0)
	else
		scene:WaitTimer(abilityVisual.impactTime)
	end

	return casterCastingPet, spellVisualID
end
"	0	0					
"	0	575
575	[1] PetBattle - 1. Handle Event"""	"
end

"	574	0					
"	276	0
281	Lorewalker Story - S1: Grummle - Init - Pre-scene Actors - ZTO"""	"-- Spawn huge mogu head!!
moguFaceID = 62170
moguFace = SpawnActor( moguFaceID, 1460.83, 362.878, 550.222, 131.721, .5 ) -- Mogu Main Character
moguFace: PlayLoopingAnimKit( 2340 )
FadeOut( moguFace, 0 )"	0	0					
"	276	278
278	[2] Darren\'s Test 4000+"""	"--80----------------------------------------------------------------------------
--80----------------------------------------------------------------------------
--80----------------------------------------------------------------------------
--80-----"							
"	535	0
555	[1] PetBattle(fallback) - Event Processing"""	"
	end

end

"	333	0					
"	600	0
644	Brazie\'s PetBattle - Dispatcher - Post Attack Cleanup"""	"
-- Reset after an attack if needed
function Dispatcher_PerformPostAttackCleanup( ROID )
	local pet = ROIDTOPET(ROID);

	local opponent = GetActivePetByIndex(3 - pet.playerID)
		
	pet.actor:WaitCastingComplete(true, 122)
	scene:WaitTimer(0.25)

	ReturnOrResetCheck( pet, opponent );
end

"	0	0					
--[[								
--[[								
--[[								
--[[								
--[[								
--[[								
--[[								
--[[								
--[[ FUTURE NOTE: Initialize all pets facing 0,0,0 ]]--								
]]								
]]								
]]								
]]								
]]								
]]								
]]								
]]								
]]								
]]--								
"]]"""	0	0						
{								
{								
{								
{								
{								
{								
{								
{								
{								
{								
}								
}								
}								
}								
}								
}								
}								
}								
}								
}								
"};"								
"};"								
"};"								
"};"								
"};"								
"};"								
"};"								
"};"								
"}; "								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
--80----------------------------------------------------------------------------								
actor = scene:SpawnActor(actorCreateData)								
actor = scene:SpawnActor(actorCreateData)								
actor:Despawn()								
actor:PlayLoopingFullBodyAnim(Animations.Hover)								
actor:SetHoverHeight(2)								
actor:SetSnapToGround(false)								
actor:SetSnapToGround(true)								
actor:WaitMoveToRel(Vector:New(0,0,-3), 3)								
actor:WaitMoveToRel(Vector:New(0,0,5), 1)								
actor:WaitMoveToRel(Vector:New(5,0,0), 2)								
actor:WaitMoveToRel(Vector:New(5,0,0), 2)								
actor2 = scene:SpawnActor(actorCreateData)								
actorCreateData = ActorCreateData:New(53828, Transform:New(Vector:New( 5, 5, 3), -90), 0.5)								
actorCreateData = ActorCreateData:New(55242, Transform:New(points[pointIndex], 100), 1.0)								
actorCreateData.transform = Transform:New(Vector:New( -10, -10, 3))								
allianceCaptain = SpawnActor( allianceCaptainCreatureID, 3438.27, -953.387, 18.8127, 63, 1.0, false )								
"allianceCaptain:Despawn()"""	0	0						
allianceCaptain:FollowPath( 3231, 2 )								
allianceCaptain:PlayLoopingFullBodyAnim(Animations.FlyFall)								
allianceCaptain:PlayOneShotFullBodyAnim(Animations.EmoteTalkExclamation)								
allianceCrewman01 = SpawnActor( allianceCrewmanCreatureID, 3448.72, -936.778, 12.8252, 133.159, 1.0, false )								
allianceCrewman01:Despawn()								
allianceCrewman01:FollowPath( 3233, 2 )								
allianceCrewman01:PlayLoopingFullBodyAnim(Animations.FlyFall)								
allianceCrewman01:PlayOneShotFullBodyAnim(Animations.EmoteKneel)								
allianceCrewman01:SetFacingToAbs ( Vector:New (3743.72, -672.189, 14.29) )								
allianceCrewman02 = SpawnActor( allianceCrewmanCreatureID, 3457.39, -935.658, 12.1602, 143.644, 1.0, false )								
allianceCrewman02:Despawn()								
allianceCrewman02:FollowPath( 3234, 2 )								
allianceCrewman02:PlayLoopingFullBodyAnim(Animations.FlyFall)								
allianceCrewman02:PlayOneShotFullBodyAnim(Animations.EmoteKneel)								
allianceCrewman02:SetFacingToAbs ( Vector:New (3743.72, -672.189, 14.29) )								
allianceCrewman03 = SpawnActor( allianceCrewmanCreatureID, 3453.5, -941.767, 12.6392, 88.2943, 1.0, false )								
"allianceCrewman03:Despawn()"""	0	0						
allianceCrewman03:FollowPath( 3232, 2 )								
allianceCrewman03:PlayLoopingFullBodyAnim(Animations.FlyFall)								
allianceCrewman03:PlayOneShotFullBodyAnim(Animations.EmoteKneel)								
allianceCrewman03:SetFacingToAbs ( Vector:New (3743.72, -672.189, 14.29) )								
allianceCrewman04 = SpawnActor( allianceCrewmanCreatureID, 3464.04, -922.214, 6.76588, 150.169, 1.0, false )								
"allianceCrewman04:Despawn()"""	0	0						
allianceCrewman04:PlayOneShotFullBodyAnim(Animations.EmotePointNoSheathe)								
allianceCrewman04:PlayOneShotFullBodyAnim(Animations.Knockdown)								
allianceCrewman05 = SpawnActor( allianceCrewmanCreatureID, 3470.05, -911.329, 17.9969, 128.254, 1.0, false )								
"allianceCrewman05:Despawn()"""	0	0						
allianceCrewman05:PlayOneShotFullBodyAnim(Animations.EmoteShout)								
allianceCrewman05:PlayOneShotFullBodyAnim(Animations.Knockdown)								
allianceCrewman05:SetFacingToAbs ( Vector:New (3457.83, -923.965, 0) )								
allianceShip = SpawnModelActor( allianceShipModel, 3457.83, -923.965, 0, 257.2773, 1.0, false )								
allPlayers = { }								
arenaCreateData.interactible = false								
arenaCreateData.interactible = false								
arenaCreateData.model = arenaRingModel								
arenaCreateData.model = arenaRingModel								
arenaCreateData.scale = arenaRingScale								
arenaCreateData.scale = arenaRingScale								
arenaFadeTime = 5.0								
arenaFadeTime = 5.0								
arenaRing = scene:SpawnActor(arenaCreateData)								
arenaRing = scene:SpawnActor(arenaCreateData)								
arenaRing:Fade(0, 0)								
arenaRing:Fade(0, 0)								
arenaRing:Fade(arenaRingAlpha, arenaFadeTime)								
arenaRing:Fade(arenaRingAlpha, arenaFadeTime)								
arenaRing:PlayLoopingFullBodyAnim(Animations.Hold)								
arenaRing:PlayLoopingFullBodyAnim(Animations.Hold)								
arenaRingAlpha = 0.5								
arenaRingAlpha = 0.5								
"arenaRingModel = \""SPELLS\\Stranglethorn_DiamondMines_Circle_Effect_Solid_White.M2\"""								
"arenaRingModel = \""SPELLS\\Stranglethorn_DiamondMines_Circle_Effect_Solid_White.M2\"""								
arenaRingScale = 1.0								
arenaRingScale = 1.0								
ashyo = SpawnFadedActorAtPoint( 63390, 3382, false )								
ashyo:FollowPathAtSpeed(3549, 6)								
ashyo:PlayOneShotSplitBodyAnim(Animations.AttackUnarmed)								
ashyo:WaitMovementComplete()								
--Back on Loon, camera on a spline								
backlineAlpha = 1.0								
BACKROW_PET_OFFSETS = {								
battleCameraIDs =								
battleCameraIDs =								
battleCameraIDs =								
battleCameraIDs =								
battleCameraIDs =								
battleScale    = 1.0								
braveA = SpawnFadedActorAtPoint( 63398, 3399, false )								
braveA:FollowPathAtSpeed(3525, paradeSpeed)								
braveA:PlayLoopingSplitBodyAnim(Animations.ReadyUnarmed)								
braveA:WaitMovementComplete()								
braveB = SpawnFadedActorAtPoint( 63398, 3400, false )								
braveB:FollowPathAtSpeed(3526, paradeSpeed)								
braveB:PlayLoopingSplitBodyAnim(Animations.ReadyUnarmed)								
braveB:WaitMovementComplete()								
braveC = SpawnFadedActorAtPoint( 63398, 3401, false )								
braveC:FollowPathAtSpeed(3527, paradeSpeed)								
braveC:PlayLoopingSplitBodyAnim(Animations.ReadyUnarmed)								
braveC:WaitMovementComplete()								
braveD = SpawnFadedActorAtPoint( 63398, 3407, false )								
braveD:FollowPathAtSpeed(3528, paradeSpeed)								
braveD:PlayLoopingSplitBodyAnim(Animations.ReadyUnarmed)								
braveD:WaitMovementComplete()								
cameraBunny = scene:SpawnActor(cameraBunnyCreate)								
cameraBunnyCreate.interactible = false								
cameraBunnyCreate.model = stalkerModel								
"cameraBunnyCreate.name = \""cameraBunny\"""								
cameraDummyCreateData.floatingTooltip = false								
cameraDummyCreateData.groundSnap = false								
cameraDummyCreateData.interactible = false								
cameraDummyCreateData.model = cameraDummyModel								
cameraDummyCreateData.transform.position = cameraDummyDefaultPos								
cannon01 = SpawnModelActor( cannonModel, 3443.82, -935.37, 12.12, 144.899, 1, false ) -- ( modelFileName, x, y, z, facing, scale, snapToGround )								
"cannon01:Despawn()"""	0	0						
cannon02 = SpawnModelActor( cannonModel, 3446.112, -932.104, 11.9, 285.375, 1, false )								
"cannon02:Despawn()"""	0	0						
cannon03 = SpawnModelActor( cannonModel, 3448.505, -928.838, 11.75, 312.15, 1, false )								
"cannon03:Despawn()"""	0	0						
cannon04 = SpawnModelActor( cannonModel, 3451.00, -925.57, 11.652, 143.099, 1, false )								
"cannon04:Despawn()"""	0	0						
CastSpellAtActor( cannon01, shipTarget01,120705 )								
CastSpellAtActor( cannon01, shipTarget01,122262 )								
CastSpellAtActor( cannon02, shipTarget02,120705 )								
CastSpellAtActor( cannon02, shipTarget02,122262 )								
CastSpellAtActor( cannon03, shipTarget03,120705 )								
CastSpellAtActor( cannon03, shipTarget03,122262 )								
CastSpellAtActor( cannon04, shipTarget04,120705 )								
CastSpellAtActor( cannon04, shipTarget04,122262 )								
CastSpellAtActor( egg1, egg1, bloodyExplosionSpellID )								
CastSpellAtActor( egg2, egg2, bloodyExplosionSpellID )								
CastSpellAtActor( littlesaurok, littlesaurok, TransformEffectSpellID )								
CastSpellAtActor( moguMain, troggMain, grummleTransformSpellID )								
CastSpellAtActor( saurok_hack4, saurok_hack4, fieryExplosionSpellID ) --Explode								
